Date,Close,High,Low,Open,Volume,Returns,Vol_20,SMA_10,SMA_50,Target,Signal,Strategy_Return,Cum_Market,Cum_Strategy
2023-07-13,434.22125244140625,435.0132815571351,432.18325865422753,432.617887210663,72425200,0.0079368705646383,0.0063772101589502,427.3268035888672,411.2791845703125,0,0,0.0,1.0079368705646383,1.0
2023-07-14,433.9508361816406,435.9598548665001,433.18778225181745,435.1099046958951,69815800,-0.0006227614568499,0.0063971214186203,428.40569458007815,412.0511260986328,1,0,-0.0,1.0073091663307128,1.0
2023-07-17,435.4576110839844,436.5104174127122,433.7576517763609,433.8059634927084,52680200,0.0034722249082452,0.0058935944891059,429.1359039306641,412.9074768066406,1,0,0.0,1.01080677030835,1.0
2023-07-18,438.69329833984375,439.3404218148386,434.6945386323739,435.12919667930265,80668200,0.0074305447269706,0.0059529506386754,430.1404235839844,413.8841632080078,1,0,0.0,1.0183176152254512,1.0
2023-07-19,439.6688232421875,440.85683741354967,438.61598753921226,439.4853035858035,65891700,0.0022237059604863,0.0057303074996296,431.3062377929688,414.7360137939453,0,0,0.0,1.0205820541760964,1.0
2023-07-20,436.7518615722656,439.5722457578469,436.0371193951603,438.6739839174844,70591600,-0.006634451923181,0.0058386069781142,432.51551818847656,415.5274072265625,0,0,-0.0,1.0138110516040038,1.0
2023-07-21,436.7518615722656,438.6739839174844,436.74222281063936,438.47112777830426,71275600,0.0,0.0058407722566798,433.83201293945314,416.35363708496095,1,0,0.0,1.0138110516040038,1.0
2023-07-24,438.7029418945313,439.5142779903244,436.867745334165,437.9012445599851,54023400,0.0044672513020136,0.005433321769559,435.2364013671875,417.1819354248047,1,0,0.0,1.0183400003442775,1.0
2023-07-25,439.9006042480469,441.156237070321,438.3841648336445,438.4324765430136,55191200,0.0027300075726492,0.0052156589787629,436.4901123046875,418.04804443359376,1,0,0.0,1.0211200762567492,1.0
2023-07-26,439.96826171875,441.3977460774992,437.9109314172146,438.9637376866275,71052900,0.0001538017225932,0.0048651434981388,437.4067352294922,418.9259002685547,0,0,0.0,1.0212771262834521,1.0
2023-07-27,437.05126953125,443.7641509737044,436.1433394792144,443.35846818342566,92194400,-0.0066300059374844,0.0052416700588893,437.6897369384766,419.7180859375,1,0,-0.0,1.0145060528723757,1.0
2023-07-28,441.3301086425781,442.1607516818026,437.0512358426156,440.3255847201604,80011800,0.0097902452403748,0.0055215785051489,438.4276641845703,420.6489685058594,1,0,0.0,1.024438315927841,1.0
2023-07-31,442.17047119140625,442.5278422835043,440.48981896786944,441.80343186125066,62040400,0.001904158661218,0.0050297797240651,439.0989501953125,421.50081115722656,0,0,0.0,1.0263890090199985,1.0
2023-08-01,440.9051513671875,441.6488687577706,439.94890960634154,440.7022952345732,55291500,-0.0028616108642655,0.0051286844784342,439.32013549804685,422.2503631591797,0,0,-0.0,1.0234518830808241,1.0
2023-08-02,434.7717895507813,438.0461090832154,434.0184039478584,437.78533196247287,93933400,-0.0139108418157227,0.0061503498227534,438.83043212890624,422.88898864746096,0,0,-0.0,1.0092148058292834,1.0
2023-08-03,433.5258483886719,435.4093273640729,432.1060027164115,432.75315569310766,64276100,-0.0028657359839209,0.0058777271393568,438.50783081054686,423.499423828125,0,0,-0.0,1.0063226626447126,1.0
2023-08-04,431.5650329589844,437.4472412458238,431.0434492729417,435.3416289808465,100128900,-0.0045229492935091,0.0059581267564609,437.9891479492187,424.1610986328125,1,0,-0.0,1.0017711162686616,1.0
2023-08-07,435.3320007324219,435.4865451527169,432.7048045400754,433.40023969323573,58357500,0.0087286213797481,0.0062008874591547,437.6520538330078,424.9558514404297,0,0,0.0,1.0105151970517383,1.0
2023-08-08,433.4389343261719,435.322413352219,430.0776591097765,432.791781332074,71361300,-0.0043485578893006,0.0061992755793127,437.0058868408203,425.64422729492185,0,0,-0.0,1.006120913219341,1.0
2023-08-09,430.5411682128906,433.8734672279528,429.7781144791187,433.70925459802874,78789600,-0.0066855233431812,0.0061585985950943,436.0631774902343,426.1712951660156,1,0,-0.0,0.9993944683679503,1.0
2023-08-10,430.69580078125,436.28825743462227,429.527093565885,432.8980072622996,93005500,0.0003591586119422,0.0058701597406616,435.4276306152344,426.6983770751953,0,0,0.0,0.9997534094979921,1.0
2023-08-11,430.4446411132813,431.4588333292262,428.22312774254544,428.82196893936987,68690900,-0.0005831486341709,0.0058700841573416,434.3390838623047,427.2652795410156,1,0,-0.0,0.9991704046627357,1.0
2023-08-14,432.8207092285156,432.8207092285156,429.2179937241371,429.5270825673996,47867400,0.0055200318189327,0.0059581807176781,433.4041076660157,427.8032952880859,0,0,0.0,1.0046858570890098,1.0
2023-08-15,427.7788391113281,431.40089107368914,427.2089436634091,431.0434905199487,75707500,-0.0116488652453216,0.006180775341618,432.0914764404297,428.1230725097656,0,0,-0.0,0.9929824069258995,1.0
2023-08-16,424.6397399902344,429.0248164729432,424.53347780183,427.36350074460506,80107200,-0.0073381355833658,0.0062678888680686,431.078271484375,428.3958502197266,0,0,-0.0,0.9856957673919803,1.0
2023-08-17,421.4040222167969,426.3686327842003,420.8824384802807,426.1078556541094,95711300,-0.007619912760666,0.006312281568904,429.8660888671875,428.58601440429686,1,0,-0.0,0.9781848516358956,1.0
2023-08-18,421.60687255859375,422.6403718520157,418.23595877170976,418.5836616313642,98852000,0.00048136783491,0.0063202907003827,428.8702728271484,428.80872131347655,1,0,0.0,0.9786557183600694,1.0
2023-08-21,424.3499755859375,425.0936930300052,420.4671462190992,422.6210410735604,68719000,0.0065063052950176,0.0064410507275711,427.7720703125,429.0366339111328,0,0,0.0,0.9850231512424348,1.0
2023-08-22,423.2005310058594,426.1271477129419,422.6403332909712,426.1271477129419,64994200,-0.0027087183839022,0.006361062231684,426.7482299804687,429.22673828125,1,0,-0.0,0.9823550009240951,1.0
2023-08-23,427.9140930175781,428.5322707675245,424.1181892276399,424.2630654264281,68441000,0.0111378924797556,0.0069918865334212,426.4855224609375,429.4360528564453,0,1,0.0111378924797556,0.9932963653013379,1.0111378924797556
