Date,Close,High,Low,Open,Volume,Returns,Vol_20,SMA_10,SMA_50,Target
2015-03-16,172.73367309570312,172.8247691226568,170.48112828051322,171.18505327392148,136099200,0.013360639697961307,0.007242095433194236,0.003435077562368817,0.012523463634710087,0
2015-03-17,172.22024536132812,172.60118322774522,171.40865790665734,171.99664370451623,94510400,-0.0029723662165774822,0.0072527986192305995,0.0019756717358916653,0.009265960499388872,1
2015-03-18,174.29058837890625,174.96138067468297,171.11051682508818,171.74818903558065,228808500,0.012021484542856342,0.007774859563695189,0.013908511027355797,0.02053307389798438,0
2015-03-19,173.4955291748047,174.29882690791254,173.10630191705437,173.87647957216197,117917300,-0.004561687532852354,0.007843550816774552,0.00975040028517613,0.014924928530566125,1
2015-03-20,175.0269775390625,175.5343990554761,174.26168836055672,174.44469367420336,177715100,0.008827019183386575,0.007983175512809998,0.016777099413316753,0.0229877381932183,0
2015-03-23,174.68588256835938,175.6092227410769,174.68588256835938,175.03525281035607,71784500,-0.0019488136943175416,0.007995748963090648,0.013538848161190819,0.020496481226679755,0
2015-03-24,173.70433044433594,175.0186226578226,173.63778191445252,174.56112214072957,77805300,-0.005618955061462039,0.008059169512885296,0.005538137527908244,0.014222413517539358,0
2015-03-25,171.15892028808594,174.14522727250312,171.11733855742628,173.91231373233074,159521700,-0.014653694296157371,0.008663028302988174,-0.010230404497134513,-0.0010288758572770827,0
2015-03-26,170.75132751464844,171.6663413650974,169.79470654797132,170.49345985958703,153067200,-0.0023813703238573236,0.008667430485188804,-0.01215515124875996,-0.0038032414743212665,1
2015-03-27,171.14230346679688,171.31698228652505,170.44355010937383,170.63488193095372,118939000,0.0022897388725420242,0.00868493744964389,-0.01028605285031538,-0.0020813488183390617,1
2015-03-30,173.23019409179688,173.52965615952493,172.15712908659208,172.17375670108467,96180400,0.012199734272041463,0.009035705839645946,0.0015006259106545485,0.009102884678206224,0
2015-03-31,171.7162322998047,173.10541228273007,171.65801026718879,172.4066590414967,126768700,-0.008739595310907067,0.009187732125757237,-0.006962726609638382,-0.00026813393379712246,0
2015-04-01,171.1090087890625,171.7079329360202,170.11911991581752,171.6829788209666,137303600,-0.0035362033199168863,0.00917592082726981,-0.008650312381944227,-0.004241065684870707,1
2015-04-02,171.72459411621094,172.17378093460846,170.8594757130817,171.04248104094222,86900900,0.0035976207886712075,0.009220459226860496,-0.004061957886480023,-0.0010709405976514561,1
2015-04-06,172.88079833984375,173.39653355555777,170.7013880356757,170.83447239619846,114368200,0.006732898275772836,0.008797032877505462,0.0038931406397111805,0.005397310938913945,0
2015-04-07,172.42327880859375,173.65439477476426,172.39001089289536,172.90574608963576,81236300,-0.0026464450398396844,0.008773444429017617,0.0025536081283063787,0.002424199206569118,1
2015-04-08,173.00558471679688,173.44645764013111,172.25693593565734,172.64790063262691,89351900,0.003377188464496861,0.007919211610776494,0.006348284898689613,0.005474742412507347,1
2015-04-09,173.7708740234375,174.00378754198945,172.34843879891193,172.83921994922966,85548900,0.004423494813149409,0.007914368269245405,0.009266447035762166,0.009233434066012429,1
2015-04-10,174.71917724609375,174.76077166783332,173.82080373926343,174.02043665507665,72722900,0.005457204655184844,0.007520931342986427,0.012441010771999803,0.013684251732052425,0
2015-04-13,173.92893981933594,175.2099769718649,173.87903158871407,174.5777722030921,74436600,-0.004522900343359337,0.00744937633109927,0.006237004218193143,0.00832108266637462,1
2015-04-14,174.26170349121094,174.4447088207474,173.10544946886912,173.72932781242415,75099900,0.0019132162377384354,0.006869744331292826,0.007560878506813076,0.009186700966362494,1
2015-04-15,175.04356384277344,175.55098523943107,174.64428538579418,174.72747421521345,99529300,0.004486702103207341,0.006875902705356654,0.010138175595789469,0.012796655644867486,0
2015-04-16,174.99366760253906,175.50108903393541,174.5112002831102,174.71084587168448,68934900,-0.0002850504133884435,0.006352984103475479,0.007591465354210708,0.011880652355520634,0
2015-04-17,172.98065185546875,174.04540312484284,172.19872236546422,173.8041757701656,191113200,-0.01150336337679625,0.006801772664061023,-0.004719034699515899,-0.00022073270955101843,1
2015-04-20,174.56109619140625,174.89382609852734,173.82076135915432,173.90393748951843,92189500,0.009136538213869283,0.006823534143273073,0.0034043015105361552,0.008463270404959023,0
2015-04-21,174.3531951904297,175.4013061722621,174.05373309664378,175.24325497098113,72559800,-0.0011909927556171818,0.006814890863416635,0.001098689509423017,0.006781913421053977,1
2015-04-22,175.20999145507812,175.39299677770984,173.770902991398,174.69424341273557,78264600,0.0049141414570157416,0.006770614244131455,0.00474649921127935,0.011058273599138451,1
2015-04-23,175.65084838867188,176.29968076672418,174.6942274364306,174.81068420446982,102585900,0.00251616320469239,0.005768663712524511,0.0061898557913478945,0.013089788420542422,1
2015-04-24,176.05845642089844,176.32465059604635,175.60926961638245,176.06678292189486,61327400,0.002320558289161445,0.0057056921716678154,0.007751644817632323,0.0148915115588233,0
2015-04-27,175.3263702392578,176.74880506813145,175.1350385007248,176.62403453676754,79358100,-0.004158199478305313,0.005842056249085994,0.0027591218292496713,0.010402162746346751,1
2015-04-28,175.8837432861328,175.9336515110271,174.12856545128815,175.3014595076419,86863500,0.0031790599789089935,0.005270379780330778,0.005014594038595703,0.013362437069214634,0
2015-04-29,175.16006469726562,175.7589761437368,174.35318113994506,174.9936870085861,125684900,-0.004114528013483776,0.004920871172184283,0.0008128096548768979,0.009058124356557095,0
2015-04-30,173.40487670898438,174.97704931085852,172.70612345816878,174.58608461209516,161304900,-0.01002048036071912,0.0054237247247705895,-0.008315576098994765,-0.0009826397958502251,1
2015-05-01,175.28488159179688,175.32647602495854,174.08703299663944,174.18684948195624,103399700,0.010841707098973918,0.005853625313537779,0.0011167393796682995,0.009686481451656256,1
2015-05-04,175.78396606445312,176.366249972887,175.60096073711145,175.70909101756808,70927200,0.002847276206161986,0.0057177379807937315,0.0032664876722922455,0.012462491239192876,0
2015-05-05,173.7708740234375,175.90038899608155,173.62946315094771,175.5426922186258,113326200,-0.011452079993902853,0.0063094408313693695,-0.007893270736606676,0.0009992335473238284,0
2015-05-06,173.0554656982422,174.6276380453887,171.9907147273087,174.31986223603798,135060200,-0.004116963381900374,0.00634626771809101,-0.0107608952944028,-0.0028515212584767,1
2015-05-07,173.74594116210938,174.17018652430545,172.6229678516267,172.955697863732,88244900,0.003989908443985168,0.006331204856318155,-0.005731258149817928,0.0013016624209432944,1
2015-05-08,176.0334930419922,176.23313866284923,175.33475240824686,175.417941256813,155877300,0.013166073777507448,0.006890147882201185,0.007373748199694895,0.014370172969639983,0
2015-05-11,175.19329833984375,176.25804933631173,175.11843601028733,175.99186793361127,75708100,-0.004772925240698389,0.006899764948727289,0.002641981866359513,0.009442902879720232,0
2015-05-12,174.66921997070312,175.2099219158196,173.53792055836283,174.36144418335638,119727600,-0.0029914293189686747,0.006929680007630388,0.0003379632923661746,0.0065262671601117594,1
2015-05-13,174.70252990722656,175.70073245209886,174.46961640318415,175.07685427494943,94667900,0.00019070295572976015,0.006854009274485756,0.0007909700552945115,0.006733827925875605,1
2015-05-14,176.52423095703125,176.61573358430036,175.44283973280514,175.71734761461244,95934000,0.010427445159334914,0.007244217054741245,0.009422889394243007,0.016947365237406368,1
2015-05-15,176.71560668945312,176.8570175782501,176.23313929029138,176.71560668945312,76510100,0.0010841329339565942,0.006674497095238578,0.00969117422112871,0.017765499330421163,1
2015-05-18,177.26463317871094,177.51417435447638,176.48270364708046,176.5492521915636,74549700,0.0031068364562878426,0.006423353603766941,0.011971989844543417,0.020289919416873466,0
2015-05-19,177.2063446044922,177.65554397007045,176.92352289599222,177.38103606729112,72114600,-0.00032882235544406946,0.0064122543838864635,0.009659038533174642,0.019408176304198086,0
2015-05-20,177.08160400390625,177.830252816043,176.7655016333957,177.30619103184608,76857500,-0.0007039285239156534,0.006346709733430863,0.006639129775104547,0.017832290666581062,1
2015-05-21,177.5973358154297,177.80529522504963,176.7738119839141,176.9401896658781,64764600,0.002912396318208499,0.006353783028101283,0.007365370304058133,0.019830298342362995,0
2015-05-22,177.17311096191406,177.6306115288807,177.10656242477594,177.21469269139422,57433500,-0.0023886892873016263,0.006372739344948546,0.004309888828493479,0.01673273326960685,0
2015-05-26,175.26820373535156,177.10657066744847,174.8522848785079,176.68232531005276,124308600,-0.01075167228379248,0.006775243022528964,-0.006530304986050852,0.005245979555882712,1
